"rank"	"DPName"	"dpID"	"dpIDSource"	"DPNumber"	"table"	"tableDescription"	"fieldName"	"description"	"dataType"	"units"	"measurementScale"	"ontologyMapping"	"pubFormat"	"exampleEntry"	"usage"	"fieldType"	"tableType"	"inputs"	"ingestDPIDSource"	"ingestTableSource"	"ingestFieldSource"	"inputFieldParameter"	"filterSampleClass"	"timeIndex"	"timeDescription"	"downloadPkg"	"dataCategory"	"sampleInfo"	"lovName"	"primaryKey"	"redactionFlag"
11	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"analyteAccuracy"	"Long-term average accuracy, e.g. the absolute difference between observed and known values of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns"	"real"	NA	"ratio"	""	"*.###(round)"	"0.28"	"publication"	"DP"	"lab-current"	"analyteAccuracy"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"DP_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
12	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"analyteStandardDeviation"	"Long-term average standard deviation values of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns"	"real"	NA	"ratio"	""	"*.###(round)"	"0.11"	"publication"	"DP"	"lab-current"	"analyteStandardDeviation"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
13	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"analyteMetricsCount"	"Count of how many measurements were used to determine analyte metrics"	"unsigned integer"	"number"	"ratio"	""	"integer"	"106"	"publication"	"DP"	"lab-current"	"analyteMetricsCount"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
14	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"qaReportingStartDate"	"Start date for the quality assurance (QA) reporting period"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20130506"	"publication"	"DP"	"lab-current"	"qaReportingStartDate"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"Y"	""
15	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"qaReportingEndDate"	"End date for the quality assurance (QA) reporting period"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20150501"	"publication"	"DP"	"lab-current"	"qaReportingEndDate"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
16	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"laboratoryName"	"Name of the laboratory or facility that is processing the sample"	"string"	NA	"nominal"	""	"asIs"	"University of Wyoming Stable Isotope Facility"	"publication"	"DP"	"lab-current"	"namedLocationName"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"ACTIVITY_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"Y"	""
17	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"labSpecificStartDate"	"Date a specific analyte, instrument, and associated method detection limit combination started"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20130506"	"publication"	"DP"	"lab-current"	"labSpecificStartDate"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"DP_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
18	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"labSpecificEndDate"	"Date a specific analyte, instrument, and associated method detection limit combination ended"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	""	"publication"	"DP"	"lab-current"	"labSpecificEndDate"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"DP_TABLE"	""	""	0	NA	"none"	"N"	""	""	"N"	""
19	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"instrument"	"Type of instrument used for the analysis"	"string"	NA	"textDomain"	""	"asIs"	"Carlo Erba 1110 Elemental Analyzer plus Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP plus Conflo 3 Interface"	"publication"	"DP"	"lab-current"	"instrument"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
20	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"testMethod"	"Method used to conduct test"	"string"	NA	"textDomain"	""	"asIs"	"010 (combustion/reduction organics)"	"publication"	"DP"	"lab-current"	"testMethod"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
21	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"method"	"Published method used for analysis"	"string"	NA	"textDomain"	""	"asIs"	"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959."	"publication"	"DP"	"lab-current"	"method"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
22	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10078.001"	NA	"bgc_CNiso_externalSummary_pub"	"Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes"	"dataQF"	"Data quality flag"	"string"	NA	"nominal"	""	"asIs"	""	"publication"	"DP"	"lab-current"	"dataQF"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalSummary_in"	"DP_TABLE"	""	""	0	NA	"expanded"	"N"	""	""	"N"	""
1	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"uid"	"Unique ID within NEON database; an identifier for the record"	"string"	NA	"textDomain"	""	"asIs"	"B0F07806AEB2458B"	"both"	"uid"	"site-date"	""	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"GENERATED"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
2	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"namedLocation"	"Name of the measurement location in the NEON database"	"string"	NA	"nominal"	""	"asIs"	"GRSM_001.basePlot.cfc"	"both"	"DP"	"site-date"	"namedLocationName"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"ACTIVITY_TABLE"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
3	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"domainID"	"Unique identifier of the NEON domain"	"string"	NA	"nominal"	""	"asIs"	"D07"	"both"	"DP"	"site-date"	"DOMAIN"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"NAMED_LOCATION"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
4	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"siteID"	"NEON site code"	"string"	NA	"nominal"	""	"asIs"	"GRSM"	"both"	"DP"	"site-date"	"SITE"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"NAMED_LOCATION"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
5	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"plotID"	"Plot identifier (NEON site code_XXX)"	"string"	NA	"nominal"	""	"asIs"	"GRSM_001"	"both"	"DP"	"site-date"	"Plot ID"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"NAMED_LOCATION"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
6	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"plotType"	"NEON plot type in which sampling occurred: tower, distributed or gradient"	"string"	NA	"nominal"	""	"asIs"	"distributed"	"both"	"DP"	"site-date"	"Plot type"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"NAMED_LOCATION"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
7	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"sampleID"	"Identifier for sample"	"string"	NA	"textDomain"	""	"obfuscate"	"cfc.GRSM001.LITU-1.20200705"	"both"	"DP"	"site-date"	"parentSampleTag"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"SAMPLE_TABLE"	"cfc_fieldData_in.sampleID"	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	"Equals: cfc_fieldData_in.sampleID"	""	"N"	""
8	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"sampleCode"	"Barcode of a sample"	"string"	NA	"textDomain"	""	"asIs"	"456PDK29WN"	"both"	"DP"	"site-date"	"parentSampleBarcode"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"SAMPLE_TABLE"	"cfc_fieldData_in.sampleID"	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
9	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"cnSampleID"	"Identifier for a carbon-nitrogen sample"	"string"	NA	"textDomain"	""	"obfuscate"	"cfc.GRSM001.LITU-1.20200705.cn"	"both"	"DP"	"site-date"	"primarySampleTag"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"SAMPLE_TABLE"	"cfc_chemistrySubsampling_in.cnSampleID"	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	"Equals: cfc_chemistrySubsampling_in.cnSampleID"	""	"Y"	""
10	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"cnSampleCode"	"Barcode of a carbon-nitrogen sample"	"string"	NA	"textDomain"	""	"asIs"	"HDU764MW91"	"both"	"DP"	"site-date"	"primarySampleBarcode"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"SAMPLE_TABLE"	"cfc_chemistrySubsampling_in.cnSampleID"	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	""	"Y"	""
11	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"setDate"	"Date that trap was set"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd'T'HH:mm'Z'(floor)"	"2020-07-05T12:24"	"both"	"resultStartDate"	"site-date"	"activityStartDate"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"ACTIVITY_TABLE"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"none"	"N"	""	""	"N"	""
12	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"collectDate"	"Date of the collection event"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd'T'HH:mm'Z'(floor)"	"2020-07-05T12:24"	"both"	"resultEndDate"	"site-date"	"activityEndDate"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"ACTIVITY_TABLE"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
13	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"analysisDate"	"Date that the sample was analyzed"	"dateTime"	NA	"dateTime"	""	"yyyy-MM-dd(floor)"	"20170305"	"both"	"DP"	"site-date"	"analysisDate"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
14	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"sampleType"	"Type of sample"	"string"	NA	"nominal"	""	"LOV"	"vegetation"	"both"	"DP"	"site-date"	"sampleType"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	"bgc.sampleType"	"N"	""
15	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"nitrogenPercent"	"Percent nitrogen in a sample on a dry weight basis"	"real"	"percent"	"ratio"	""	"*.##(round)"	"0.85"	"both"	"DP"	"site-date"	"nitrogenPercent"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"Y"	""	""	"N"	""
16	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"carbonPercent"	"Percent carbon in a sample on a dry weight basis"	"real"	"percent"	"ratio"	""	"*.##(round)"	"36.51"	"both"	"DP"	"site-date"	"carbonPercent"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"Y"	""	""	"N"	""
17	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"CNratio"	"Ratio of carbon to nitrogen concentration in a sample on a dry weight basis"	"real"	NA	"ratio"	""	"*.#(round)"	"42.3"	"both"	"DP"	"site-date"	"CNratio"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"Y"	""	""	"N"	""
18	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"cnPercentQF"	"Quality flag for concentration values outside the calibration range"	"string"	NA	"nominal"	""	"LOV"	"0"	"both"	"DP"	"site-date"	"cnPercentQF"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	"bgc.cnPercentQF"	"N"	""
19	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"percentAccuracyQF"	"Quality flag for accuracy of percent concentration values of QA materials associated with the run"	"string"	NA	"nominal"	""	"LOV"	"0"	"both"	"DP"	"site-date"	"percentAccuracyQF"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	"bgc.percentAccuracyQF"	"N"	""
20	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"analyticalRepNumber"	"Number of the analytical replicate"	"unsigned integer"	"number"	"ordinal"	""	"integer"	"1"	"both"	"DP"	"site-date"	"analyticalRepNumber"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	""	"Y"	""
21	"Plant foliar physical and chemical properties"	"NEON.DOM.SITE.DP1.10026.001"	"NEON.DOM.SITE.DP1.10026.001"	NA	"cfc_carbonNitrogen_pub"	"External lab analysis of carbon and nitrogen concentrations in foliage"	"remarks"	"Technician notes; free text comments accompanying the record"	"string"	NA	"textDomain"	""	"asIs"	"had to re-run, autosampler jammed"	"both"	"DP"	"site-date"	"remarks"	"NEON.DOM.SITE.DP0.10103.001"	"bgc_CNiso_externalAnalysis_in"	"DP_TABLE"	""	"cfc_chemistrySubsampling_in.cnSampleID"	0	NA	"basic"	"N"	""	""	"N"	""
